cid,g,a,d,i,cl
D,U,2,15,33,0
D,U,2,16,19,0
D,U,2,17,29,1
D,U,2,18,22,0
D,U,2,19,40,0
D,U,2,20,31,0
D,U,2,21,22,0
D,U,2,22,28,0
D,U,2,23,16,0
D,U,2,24,27,0
D,U,2,25,18,0
D,U,2,26,32,0
D,U,2,27,23,0
D,U,2,28,21,0
D,U,2,29,12,0
D,U,3,1,5,0
D,U,3,2,3,0
D,U,3,4,10,0
D,U,3,5,5,0
D,U,3,6,15,0
D,U,3,7,6,0
D,U,3,8,4,0
D,U,3,9,9,0
D,U,3,10,7,0
D,U,3,11,16,0
D,U,3,12,16,0
D,U,3,13,11,0
D,U,3,14,16,0
D,U,3,15,20,0
D,U,3,16,13,0
D,U,3,17,22,0
D,U,3,18,24,1
D,U,3,19,32,0
D,U,3,20,42,0
D,U,3,21,17,0
D,U,3,22,31,1
D,U,3,23,12,0
D,U,3,24,16,1
D,U,3,25,16,1
D,U,3,26,23,0
D,U,3,27,18,0
D,U,3,28,10,0
D,U,3,29,9,0
D,U,4,1,11,0
D,U,4,4,9,0
D,U,4,5,9,0
D,U,4,6,13,0
D,U,4,7,5,0
D,U,4,8,5,0
D,U,4,9,9,0
D,U,4,10,6,0
D,U,4,11,22,0
D,U,4,12,15,0
D,U,4,13,15,0
D,U,4,14,27,0
D,U,4,15,14,0
D,U,4,16,10,0
D,U,4,17,18,0
D,U,4,18,23,0
D,U,4,19,34,1
D,U,4,20,41,0
D,U,4,21,13,0
D,U,4,22,26,0
D,U,4,23,11,0
D,U,4,24,16,0
D,U,4,25,25,0
D,U,4,26,17,0
D,U,4,27,19,0
D,U,4,28,11,0
D,U,4,29,14,0
D,U,5,1,4,0
D,U,5,2,1,0
D,U,5,4,14,0
D,U,5,5,15,0
D,U,5,6,15,0
D,U,5,7,23,0
D,U,5,8,3,0
D,U,5,9,22,0
D,U,5,10,20,0
D,U,5,11,30,1
D,U,5,12,25,0
D,U,5,13,33,0
D,U,5,14,29,0
D,U,5,15,34,1
D,U,5,16,29,0
D,U,5,17,42,0
D,U,5,18,42,0
D,U,5,19,65,0
D,U,5,20,75,0
D,U,5,21,23,0
D,U,5,22,52,0
D,U,5,23,32,0
D,U,5,24,26,0
D,U,5,25,28,1
D,U,5,26,35,0
D,U,5,27,31,0
D,U,5,28,13,0
D,U,5,29,19,0
D,U,6,1,12,2
D,U,6,2,1,0
D,U,6,4,29,0
D,U,6,5,30,0
D,U,6,6,36,1
D,U,6,7,36,0
D,U,6,8,17,0
D,U,6,9,31,1
D,U,6,10,33,0
D,U,6,11,59,1
D,U,6,12,35,0
D,U,6,13,49,0
D,U,6,14,60,0
D,U,6,15,49,0
D,U,6,16,54,1
D,U,6,17,64,0
D,U,6,18,106,0
D,U,6,19,104,0
D,U,6,20,119,2
D,U,6,21,42,1
D,U,6,22,77,2
D,U,6,23,62,0
D,U,6,24,62,0
D,U,6,25,55,0
D,U,6,26,67,0
D,U,6,27,57,0
D,U,6,28,33,0
D,U,6,29,39,0
D,U,6,30,1,0
D,U,U,1,19,0
D,U,U,2,7,0
D,U,U,4,57,0
D,U,U,5,56,0
D,U,U,6,65,0
D,U,U,7,83,0
D,U,U,8,33,0
D,U,U,9,72,0
D,U,U,10,70,0
D,U,U,11,109,0
D,U,U,12,91,0
D,U,U,13,112,0
D,U,U,14,122,0
D,U,U,15,93,1
D,U,U,16,98,0
D,U,U,17,146,0
D,U,U,18,177,1
D,U,U,19,161,1
D,U,U,20,210,1
D,U,U,21,91,0
D,U,U,22,173,2
D,U,U,23,115,0
D,U,U,24,108,1
D,U,U,25,114,1
D,U,U,26,143,0
D,U,U,27,96,1
D,U,U,28,71,0
D,U,U,29,68,0
DI,F,1,1,74,1
DI,F,1,2,19,0
DI,F,1,4,183,0
DI,F,1,5,167,0
DI,F,1,6,185,1
DI,F,1,7,181,0
DI,F,1,8,63,1
DI,F,1,9,200,2
DI,F,1,10,223,1
DI,F,1,11,342,0
DI,F,1,12,253,1
DI,F,1,13,326,2
DI,F,1,14,407,6
DI,F,1,15,293,1
DI,F,1,16,296,2
DI,F,1,17,427,2
DI,F,1,18,468,3
DI,F,1,19,562,2
DI,F,1,20,687,2
DI,F,1,21,282,1
DI,F,1,22,496,2
DI,F,1,23,331,0
DI,F,1,24,323,1
DI,F,1,25,362,5
DI,F,1,26,384,1
DI,F,1,27,300,2
DI,F,1,28,195,0
DI,F,1,29,214,1
DI,F,1,30,2,0
DI,F,2,1,73,0
DI,F,2,2,14,1
DI,F,2,4,196,0
DI,F,2,5,151,1
DI,F,2,6,215,3
DI,F,2,7,190,0
DI,F,2,8,67,0
DI,F,2,9,195,1
DI,F,2,10,208,0
DI,F,2,11,356,5
DI,F,2,12,284,0
DI,F,2,13,313,2
DI,F,2,14,397,2
DI,F,2,15,316,0
DI,F,2,16,274,1
DI,F,2,17,434,2
DI,F,2,18,492,3
DI,F,2,19,604,4
DI,F,2,20,697,4
DI,F,2,21,303,0
DI,F,2,22,503,0
DI,F,2,23,331,1
DI,F,2,24,408,1
DI,F,2,25,313,1
DI,F,2,26,444,0
DI,F,2,27,326,1
DI,F,2,28,222,2
DI,F,2,29,224,0
DI,F,3,1,58,1
DI,F,3,2,15,0
DI,F,3,4,147,1
DI,F,3,5,131,0
DI,F,3,6,186,0
DI,F,3,7,150,0
DI,F,3,8,57,0
DI,F,3,9,174,2
DI,F,3,10,203,0
DI,F,3,11,268,2
DI,F,3,12,239,0
DI,F,3,13,268,2
DI,F,3,14,350,0
DI,F,3,15,280,2
DI,F,3,16,257,0
DI,F,3,17,353,3
DI,F,3,18,450,0
DI,F,3,19,495,2
DI,F,3,20,606,2
DI,F,3,21,249,1
DI,F,3,22,418,1
DI,F,3,23,280,1
DI,F,3,24,350,2
DI,F,3,25,326,2
DI,F,3,26,351,0
DI,F,3,27,300,0
DI,F,3,28,170,1
DI,F,3,29,180,0
DI,F,3,30,1,0
DI,F,4,1,59,0
DI,F,4,2,12,0
DI,F,4,4,183,0
DI,F,4,5,133,2
DI,F,4,6,182,2
DI,F,4,7,183,0
DI,F,4,8,66,0
DI,F,4,9,174,2
DI,F,4,10,202,1
DI,F,4,11,275,0
DI,F,4,12,258,1
DI,F,4,13,299,0
DI,F,4,14,364,2
DI,F,4,15,300,2
DI,F,4,16,245,1
DI,F,4,17,373,0
DI,F,4,18,453,1
DI,F,4,19,531,3
DI,F,4,20,633,1
DI,F,4,21,263,0
DI,F,4,22,452,2
DI,F,4,23,290,1
DI,F,4,24,315,3
DI,F,4,25,315,1
DI,F,4,26,395,2
DI,F,4,27,276,1
DI,F,4,28,174,0
DI,F,4,29,193,0
DI,F,4,30,3,0
DI,F,5,1,108,1
DI,F,5,2,26,0
DI,F,5,4,264,0
DI,F,5,5,271,1
DI,F,5,6,331,1
DI,F,5,7,270,4
DI,F,5,8,115,0
DI,F,5,9,313,2
DI,F,5,10,338,2
DI,F,5,11,529,3
DI,F,5,12,428,1
DI,F,5,13,480,4
DI,F,5,14,590,4
DI,F,5,15,539,6
DI,F,5,16,449,4
DI,F,5,17,622,1
DI,F,5,18,801,4
DI,F,5,19,876,4
DI,F,5,20,990,3
DI,F,5,21,468,3
DI,F,5,22,730,3
DI,F,5,23,526,3
DI,F,5,24,554,1
DI,F,5,25,569,3
DI,F,5,26,637,1
DI,F,5,27,441,3
DI,F,5,28,360,1
DI,F,5,29,345,1
DI,F,5,30,3,0
DI,F,6,1,210,0
DI,F,6,2,40,0
DI,F,6,4,518,3
DI,F,6,5,421,0
DI,F,6,6,554,1
DI,F,6,7,543,6
DI,F,6,8,182,1
DI,F,6,9,562,0
DI,F,6,10,603,2
DI,F,6,11,944,3
DI,F,6,12,759,4
DI,F,6,13,913,5
DI,F,6,14,1112,7
DI,F,6,15,880,4
DI,F,6,16,811,1
DI,F,6,17,1221,4
DI,F,6,18,1473,1
DI,F,6,19,1608,4
DI,F,6,20,1844,6
DI,F,6,21,808,5
DI,F,6,22,1338,9
DI,F,6,23,888,5
DI,F,6,24,923,5
DI,F,6,25,975,4
DI,F,6,26,1198,4
DI,F,6,27,839,2
DI,F,6,28,576,0
DI,F,6,29,603,3
DI,F,6,30,4,0
DI,F,U,1,376,4
DI,F,U,2,82,1
DI,F,U,4,1050,2
DI,F,U,5,887,2
DI,F,U,6,1067,1
DI,F,U,7,1046,3
DI,F,U,8,415,1
DI,F,U,9,1183,4
DI,F,U,10,1242,2
DI,F,U,11,1897,5
DI,F,U,12,1596,6
DI,F,U,13,1749,4
DI,F,U,14,2229,6
DI,F,U,15,1881,12
DI,F,U,16,1673,7
DI,F,U,17,2444,8
DI,F,U,18,2881,12
DI,F,U,19,3239,17
DI,F,U,20,3808,18
DI,F,U,21,1533,3
DI,F,U,22,2805,13
DI,F,U,23,1867,4
DI,F,U,24,2004,8
DI,F,U,25,1941,10
DI,F,U,26,2405,8
DI,F,U,27,1792,10
DI,F,U,28,1097,0
DI,F,U,29,1248,3
DI,F,U,30,11,0
DI,M,1,1,48,0
DI,M,1,2,3,0
DI,M,1,4,98,0
DI,M,1,5,74,0
DI,M,1,6,122,2
DI,M,1,7,96,0
DI,M,1,8,31,0
DI,M,1,9,103,0
DI,M,1,10,117,0
DI,M,1,11,173,1
DI,M,1,12,157,0
DI,M,1,13,173,1
DI,M,1,14,223,0
DI,M,1,15,182,1
DI,M,1,16,148,0
DI,M,1,17,222,0
DI,M,1,18,263,3
DI,M,1,19,315,0
DI,M,1,20,381,2
DI,M,1,21,138,0
DI,M,1,22,268,1
DI,M,1,23,176,0
DI,M,1,24,181,0
DI,M,1,25,179,2
DI,M,1,26,233,0
DI,M,1,27,167,1
DI,M,1,28,107,0
DI,M,1,29,131,1
DI,M,1,30,1,0
DI,M,2,1,47,0
DI,M,2,2,8,0
DI,M,2,4,90,0
DI,M,2,5,86,0
DI,M,2,6,118,0
DI,M,2,7,116,0
DI,M,2,8,45,0
DI,M,2,9,122,0
DI,M,2,10,109,1
DI,M,2,11,180,0
DI,M,2,12,167,1
DI,M,2,13,174,1
DI,M,2,14,223,2
DI,M,2,15,183,0
DI,M,2,16,170,0
DI,M,2,17,228,1
DI,M,2,18,319,0
DI,M,2,19,359,1
DI,M,2,20,360,2
DI,M,2,21,151,2
DI,M,2,22,304,0
DI,M,2,23,187,1
DI,M,2,24,218,0
DI,M,2,25,234,2
DI,M,2,26,254,0
DI,M,2,27,167,0
DI,M,2,28,119,1
DI,M,2,29,103,0
DI,M,2,30,1,0
DI,M,3,1,43,0
DI,M,3,2,7,0
DI,M,3,4,98,0
DI,M,3,5,73,0
DI,M,3,6,98,0
DI,M,3,7,86,0
DI,M,3,8,31,0
DI,M,3,9,97,0
DI,M,3,10,118,0
DI,M,3,11,165,0
DI,M,3,12,137,0
DI,M,3,13,150,2
DI,M,3,14,196,2
DI,M,3,15,154,0
DI,M,3,16,141,0
DI,M,3,17,191,1
DI,M,3,18,286,2
DI,M,3,19,262,1
DI,M,3,20,359,1
DI,M,3,21,135,0
DI,M,3,22,265,1
DI,M,3,23,156,1
DI,M,3,24,165,0
DI,M,3,25,168,0
DI,M,3,26,191,0
DI,M,3,27,126,0
DI,M,3,28,111,1
DI,M,3,29,99,1
DI,M,4,1,30,0
DI,M,4,2,6,0
DI,M,4,4,78,0
DI,M,4,5,69,0
DI,M,4,6,103,0
DI,M,4,7,83,0
DI,M,4,8,36,0
DI,M,4,9,98,0
DI,M,4,10,116,0
DI,M,4,11,145,0
DI,M,4,12,141,1
DI,M,4,13,162,0
DI,M,4,14,217,1
DI,M,4,15,168,0
DI,M,4,16,134,0
DI,M,4,17,194,0
DI,M,4,18,242,1
DI,M,4,19,243,5
DI,M,4,20,334,1
DI,M,4,21,119,0
DI,M,4,22,208,1
DI,M,4,23,169,0
DI,M,4,24,179,1
DI,M,4,25,159,0
DI,M,4,26,184,1
DI,M,4,27,139,2
DI,M,4,28,101,0
DI,M,4,29,108,0
DI,M,4,30,2,0
DI,M,5,1,61,0
DI,M,5,2,11,0
DI,M,5,4,146,0
DI,M,5,5,146,0
DI,M,5,6,161,1
DI,M,5,7,174,0
DI,M,5,8,51,0
DI,M,5,9,180,3
DI,M,5,10,187,1
DI,M,5,11,276,2
DI,M,5,12,241,1
DI,M,5,13,266,2
DI,M,5,14,351,1
DI,M,5,15,333,2
DI,M,5,16,272,0
DI,M,5,17,347,2
DI,M,5,18,416,1
DI,M,5,19,534,2
DI,M,5,20,597,1
DI,M,5,21,238,1
DI,M,5,22,422,3
DI,M,5,23,263,0
DI,M,5,24,329,0
DI,M,5,25,300,2
DI,M,5,26,346,2
DI,M,5,27,271,1
DI,M,5,28,178,1
DI,M,5,29,167,1
DI,M,5,30,4,0
DI,M,6,1,106,0
DI,M,6,2,38,0
DI,M,6,4,272,2
DI,M,6,5,217,0
DI,M,6,6,295,1
DI,M,6,7,299,2
DI,M,6,8,111,0
DI,M,6,9,328,3
DI,M,6,10,344,1
DI,M,6,11,509,2
DI,M,6,12,476,2
DI,M,6,13,477,4
DI,M,6,14,622,4
DI,M,6,15,479,1
DI,M,6,16,458,2
DI,M,6,17,652,2
DI,M,6,18,794,3
DI,M,6,19,887,1
DI,M,6,20,1059,4
DI,M,6,21,445,3
DI,M,6,22,779,2
DI,M,6,23,528,1
DI,M,6,24,570,2
DI,M,6,25,556,7
DI,M,6,26,650,0
DI,M,6,27,440,2
DI,M,6,28,312,2
DI,M,6,29,343,1
DI,M,6,30,1,0
DI,M,U,1,231,2
DI,M,U,2,50,0
DI,M,U,4,529,3
DI,M,U,5,468,1
DI,M,U,6,654,2
DI,M,U,7,563,3
DI,M,U,8,201,0
DI,M,U,9,662,0
DI,M,U,10,669,1
DI,M,U,11,1056,1
DI,M,U,12,937,3
DI,M,U,13,1050,6
DI,M,U,14,1267,8
DI,M,U,15,1038,4
DI,M,U,16,890,5
DI,M,U,17,1311,2
DI,M,U,18,1617,7
DI,M,U,19,1730,4
DI,M,U,20,2146,9
DI,M,U,21,832,4
DI,M,U,22,1544,8
DI,M,U,23,974,3
DI,M,U,24,1097,2
DI,M,U,25,1026,3
DI,M,U,26,1279,9
DI,M,U,27,894,4
DI,M,U,28,676,3
DI,M,U,29,669,1
DI,M,U,30,7,0
DI,U,1,1,60,0
DI,U,1,2,13,0
DI,U,1,4,180,0
DI,U,1,5,137,0
DI,U,1,6,178,2
DI,U,1,7,172,1
DI,U,1,8,59,0
DI,U,1,9,214,1
DI,U,1,10,221,0
DI,U,1,11,309,1
DI,U,1,12,279,1
DI,U,1,13,308,0
DI,U,1,14,363,0
DI,U,1,15,299,0
DI,U,1,16,264,0
DI,U,1,17,392,0
DI,U,1,18,499,0
DI,U,1,19,558,0
DI,U,1,20,684,4
DI,U,1,21,244,0
DI,U,1,22,453,2
DI,U,1,23,288,3
DI,U,1,24,334,3
DI,U,1,25,295,1
DI,U,1,26,400,0
DI,U,1,27,281,0
DI,U,1,28,217,1
DI,U,1,29,206,0
DI,U,1,30,3,0
DI,U,2,1,76,0
DI,U,2,2,10,0
DI,U,2,4,168,0
DI,U,2,5,153,1
DI,U,2,6,218,3
DI,U,2,7,187,0
DI,U,2,8,74,0
DI,U,2,9,195,2
DI,U,2,10,227,0
DI,U,2,11,303,1
DI,U,2,12,264,0
DI,U,2,13,323,5
DI,U,2,14,401,3
DI,U,2,15,328,0
DI,U,2,16,307,0
DI,U,2,17,423,0
DI,U,2,18,491,0
DI,U,2,19,555,0
DI,U,2,20,662,0
DI,U,2,21,294,0
DI,U,2,22,502,1
DI,U,2,23,294,2
DI,U,2,24,338,1
DI,U,2,25,346,1
DI,U,2,26,359,1
DI,U,2,27,273,0
DI,U,2,28,204,1
DI,U,2,29,213,1
DI,U,2,30,1,0
DI,U,3,1,65,0
DI,U,3,2,12,0
DI,U,3,4,165,0
DI,U,3,5,152,2
DI,U,3,6,160,2
DI,U,3,7,174,0
DI,U,3,8,68,1
DI,U,3,9,156,0
DI,U,3,10,163,0
DI,U,3,11,284,1
DI,U,3,12,229,0
DI,U,3,13,288,4
DI,U,3,14,312,1
DI,U,3,15,318,3
DI,U,3,16,239,2
DI,U,3,17,367,0
DI,U,3,18,463,1
DI,U,3,19,519,3
DI,U,3,20,595,2
DI,U,3,21,210,1
DI,U,3,22,433,3
DI,U,3,23,283,1
DI,U,3,24,314,1
DI,U,3,25,271,1
DI,U,3,26,322,0
DI,U,3,27,261,2
DI,U,3,28,156,1
DI,U,3,29,176,1
DI,U,3,30,2,0
DI,U,4,1,65,0
DI,U,4,2,9,0
DI,U,4,4,178,2
DI,U,4,5,113,0
DI,U,4,6,174,1
DI,U,4,7,147,0
DI,U,4,8,78,1
DI,U,4,9,170,0
DI,U,4,10,178,0
DI,U,4,11,284,1
DI,U,4,12,223,1
DI,U,4,13,299,1
DI,U,4,14,352,1
DI,U,4,15,309,2
DI,U,4,16,242,0
DI,U,4,17,374,2
DI,U,4,18,431,1
DI,U,4,19,513,0
DI,U,4,20,591,2
DI,U,4,21,228,1
DI,U,4,22,435,0
DI,U,4,23,288,0
DI,U,4,24,313,1
DI,U,4,25,290,2
DI,U,4,26,369,5
DI,U,4,27,262,1
DI,U,4,28,172,0
DI,U,4,29,177,2
DI,U,4,30,3,0
DI,U,5,1,111,0
DI,U,5,2,28,0
DI,U,5,4,247,2
DI,U,5,5,253,3
DI,U,5,6,278,1
DI,U,5,7,262,1
DI,U,5,8,92,0
DI,U,5,9,293,0
DI,U,5,10,348,1
DI,U,5,11,513,1
DI,U,5,12,376,1
DI,U,5,13,495,0
DI,U,5,14,567,4
DI,U,5,15,493,5
DI,U,5,16,433,1
DI,U,5,17,640,3
DI,U,5,18,758,4
DI,U,5,19,847,2
DI,U,5,20,1035,4
DI,U,5,21,418,2
DI,U,5,22,692,1
DI,U,5,23,529,0
DI,U,5,24,513,1
DI,U,5,25,480,2
DI,U,5,26,616,2
DI,U,5,27,431,2
DI,U,5,28,303,0
DI,U,5,29,334,1
DI,U,5,30,2,0
DI,U,6,1,208,0
DI,U,6,2,46,0
DI,U,6,4,459,2
DI,U,6,5,401,3
DI,U,6,6,592,1
DI,U,6,7,469,4
DI,U,6,8,181,1
DI,U,6,9,499,4
DI,U,6,10,590,3
DI,U,6,11,880,9
DI,U,6,12,712,3
DI,U,6,13,815,3
DI,U,6,14,1083,2
DI,U,6,15,904,5
DI,U,6,16,772,2
DI,U,6,17,1127,4
DI,U,6,18,1435,7
DI,U,6,19,1485,6
DI,U,6,20,1771,7
DI,U,6,21,769,3
DI,U,6,22,1282,6
DI,U,6,23,803,2
DI,U,6,24,911,8
DI,U,6,25,982,5
DI,U,6,26,1181,2
DI,U,6,27,776,2
DI,U,6,28,576,0
DI,U,6,29,617,2
DI,U,6,30,7,0
DI,U,U,1,373,2
DI,U,U,2,78,0
DI,U,U,4,971,5
DI,U,U,5,834,2
DI,U,U,6,1120,3
DI,U,U,7,1029,5
DI,U,U,8,373,0
DI,U,U,9,1079,6
DI,U,U,10,1138,5
DI,U,U,11,1766,7
DI,U,U,12,1471,4
DI,U,U,13,1711,9
DI,U,U,14,2081,8
DI,U,U,15,1766,5
DI,U,U,16,1649,2
DI,U,U,17,2210,11
DI,U,U,18,2681,16
DI,U,U,19,3089,12
DI,U,U,20,3673,9
DI,U,U,21,1485,5
DI,U,U,22,2669,10
DI,U,U,23,1737,6
DI,U,U,24,1923,6
DI,U,U,25,1842,3
DI,U,U,26,2256,9
DI,U,U,27,1599,1
DI,U,U,28,1101,7
DI,U,U,29,1199,3
DI,U,U,30,5,0
PD,F,1,1,118,0
PD,F,1,2,27,0
PD,F,1,4,333,3
PD,F,1,5,258,3
PD,F,1,6,352,2
PD,F,1,7,333,0
PD,F,1,8,113,0
PD,F,1,9,376,1
PD,F,1,10,376,1
PD,F,1,11,597,3
PD,F,1,12,487,1
PD,F,1,13,564,4
PD,F,1,14,729,1
PD,F,1,15,583,3
PD,F,1,16,510,0
PD,F,1,17,741,1
PD,F,1,18,917,4
PD,F,1,19,1050,3
PD,F,1,20,1192,6
PD,F,1,21,479,5
PD,F,1,22,824,5
PD,F,1,23,566,0
PD,F,1,24,607,4
PD,F,1,25,609,0
PD,F,1,26,703,6
PD,F,1,27,537,2
PD,F,1,28,362,1
PD,F,1,29,403,2
PD,F,1,30,4,0
PD,F,2,1,111,1
PD,F,2,2,33,0
PD,F,2,4,332,0
PD,F,2,5,268,1
PD,F,2,6,414,1
PD,F,2,7,371,4
PD,F,2,8,118,2
PD,F,2,9,319,4
PD,F,2,10,388,0
PD,F,2,11,611,2
PD,F,2,12,527,2
PD,F,2,13,611,2
PD,F,2,14,733,3
PD,F,2,15,594,6
PD,F,2,16,541,4
PD,F,2,17,789,4
PD,F,2,18,931,5
PD,F,2,19,1063,4
PD,F,2,20,1264,7
PD,F,2,21,516,3
PD,F,2,22,878,4
PD,F,2,23,571,4
PD,F,2,24,660,3
PD,F,2,25,652,1
PD,F,2,26,734,13
PD,F,2,27,574,3
PD,F,2,28,371,1
PD,F,2,29,398,1
PD,F,2,30,8,0
PD,F,3,1,113,1
PD,F,3,2,20,0
PD,F,3,4,300,0
PD,F,3,5,228,3
PD,F,3,6,294,1
PD,F,3,7,318,1
PD,F,3,8,109,1
PD,F,3,9,339,0
PD,F,3,10,335,2
PD,F,3,11,532,2
PD,F,3,12,433,2
PD,F,3,13,523,3
PD,F,3,14,639,3
PD,F,3,15,542,4
PD,F,3,16,438,3
PD,F,3,17,687,3
PD,F,3,18,803,4
PD,F,3,19,889,5
PD,F,3,20,1098,6
PD,F,3,21,386,3
PD,F,3,22,787,4
PD,F,3,23,512,4
PD,F,3,24,538,1
PD,F,3,25,541,1
PD,F,3,26,661,4
PD,F,3,27,495,2
PD,F,3,28,348,2
PD,F,3,29,338,2
PD,F,3,30,4,0
PD,F,4,1,138,0
PD,F,4,2,24,0
PD,F,4,4,269,3
PD,F,4,5,238,2
PD,F,4,6,314,1
PD,F,4,7,284,2
PD,F,4,8,106,2
PD,F,4,9,342,2
PD,F,4,10,341,1
PD,F,4,11,530,2
PD,F,4,12,474,1
PD,F,4,13,555,3
PD,F,4,14,668,4
PD,F,4,15,545,2
PD,F,4,16,441,2
PD,F,4,17,680,4
PD,F,4,18,865,7
PD,F,4,19,894,7
PD,F,4,20,1071,3
PD,F,4,21,417,3
PD,F,4,22,769,2
PD,F,4,23,526,7
PD,F,4,24,570,1
PD,F,4,25,570,4
PD,F,4,26,669,4
PD,F,4,27,469,4
PD,F,4,28,323,1
PD,F,4,29,357,2
PD,F,4,30,1,0
PD,F,5,1,197,0
PD,F,5,2,62,0
PD,F,5,4,478,2
PD,F,5,5,411,1
PD,F,5,6,572,7
PD,F,5,7,466,2
PD,F,5,8,193,3
PD,F,5,9,539,4
PD,F,5,10,570,9
PD,F,5,11,892,4
PD,F,5,12,811,3
PD,F,5,13,889,4
PD,F,5,14,1096,6
PD,F,5,15,933,5
PD,F,5,16,812,2
PD,F,5,17,1224,11
PD,F,5,18,1478,8
PD,F,5,19,1561,8
PD,F,5,20,1914,14
PD,F,5,21,725,0
PD,F,5,22,1415,5
PD,F,5,23,892,8
PD,F,5,24,1016,8
PD,F,5,25,930,2
PD,F,5,26,1193,5
PD,F,5,27,883,3
PD,F,5,28,594,3
PD,F,5,29,584,1
PD,F,5,30,3,0
PD,F,6,1,334,5
PD,F,6,2,68,0
PD,F,6,4,875,2
PD,F,6,5,738,5
PD,F,6,6,1075,5
PD,F,6,7,1003,2
PD,F,6,8,341,1
PD,F,6,9,1067,3
PD,F,6,10,1104,5
PD,F,6,11,1715,9
PD,F,6,12,1377,4
PD,F,6,13,1676,15
PD,F,6,14,2037,13
PD,F,6,15,1678,5
PD,F,6,16,1471,5
PD,F,6,17,2221,14
PD,F,6,18,2578,14
PD,F,6,19,2816,19
PD,F,6,20,3442,21
PD,F,6,21,1416,2
PD,F,6,22,2472,6
PD,F,6,23,1606,9
PD,F,6,24,1790,4
PD,F,6,25,1758,9
PD,F,6,26,2083,12
PD,F,6,27,1575,8
PD,F,6,28,1046,6
PD,F,6,29,1130,4
PD,F,6,30,13,0
PD,F,U,1,698,3
PD,F,U,2,154,0
PD,F,U,4,1807,12
PD,F,U,5,1578,8
PD,F,U,6,2109,8
PD,F,U,7,1885,14
