cid,g,a,d,i,cl
PD,F,U,8,677,2
PD,F,U,9,2109,9
PD,F,U,10,2168,8
PD,F,U,11,3459,16
PD,F,U,12,2883,14
PD,F,U,13,3152,21
PD,F,U,14,3996,23
PD,F,U,15,3349,20
PD,F,U,16,2953,21
PD,F,U,17,4266,25
PD,F,U,18,5315,25
PD,F,U,19,5765,30
PD,F,U,20,7066,39
PD,F,U,21,2763,15
PD,F,U,22,5007,22
PD,F,U,23,3306,15
PD,F,U,24,3565,5
PD,F,U,25,3648,11
PD,F,U,26,4191,28
PD,F,U,27,3080,21
PD,F,U,28,1969,5
PD,F,U,29,2215,11
PD,F,U,30,19,0
PD,M,1,1,68,1
PD,M,1,2,16,0
PD,M,1,4,145,0
PD,M,1,5,140,0
PD,M,1,6,214,2
PD,M,1,7,201,1
PD,M,1,8,48,0
PD,M,1,9,202,1
PD,M,1,10,209,1
PD,M,1,11,327,2
PD,M,1,12,304,2
PD,M,1,13,291,2
PD,M,1,14,391,0
PD,M,1,15,337,0
PD,M,1,16,326,1
PD,M,1,17,402,1
PD,M,1,18,521,2
PD,M,1,19,561,5
PD,M,1,20,662,3
PD,M,1,21,242,1
PD,M,1,22,448,0
PD,M,1,23,313,1
PD,M,1,24,352,3
PD,M,1,25,325,1
PD,M,1,26,388,3
PD,M,1,27,290,1
PD,M,1,28,204,4
PD,M,1,29,208,1
PD,M,1,30,3,0
PD,M,2,1,79,0
PD,M,2,2,17,0
PD,M,2,4,179,2
PD,M,2,5,145,0
PD,M,2,6,211,1
PD,M,2,7,203,1
PD,M,2,8,53,1
PD,M,2,9,193,0
PD,M,2,10,232,0
PD,M,2,11,328,0
PD,M,2,12,308,3
PD,M,2,13,342,2
PD,M,2,14,416,3
PD,M,2,15,338,1
PD,M,2,16,296,2
PD,M,2,17,424,3
PD,M,2,18,547,2
PD,M,2,19,588,6
PD,M,2,20,696,4
PD,M,2,21,263,1
PD,M,2,22,548,2
PD,M,2,23,317,1
PD,M,2,24,381,1
PD,M,2,25,343,2
PD,M,2,26,416,1
PD,M,2,27,303,2
PD,M,2,28,203,2
PD,M,2,29,230,1
PD,M,3,1,65,0
PD,M,3,2,14,0
PD,M,3,4,149,1
PD,M,3,5,135,0
PD,M,3,6,198,0
PD,M,3,7,173,2
PD,M,3,8,67,0
PD,M,3,9,180,1
PD,M,3,10,183,0
PD,M,3,11,276,1
PD,M,3,12,272,1
PD,M,3,13,269,3
PD,M,3,14,372,0
PD,M,3,15,273,4
PD,M,3,16,240,0
PD,M,3,17,342,3
PD,M,3,18,391,2
PD,M,3,19,503,0
PD,M,3,20,611,5
PD,M,3,21,241,1
PD,M,3,22,445,3
PD,M,3,23,282,2
PD,M,3,24,313,0
PD,M,3,25,316,3
PD,M,3,26,384,4
PD,M,3,27,249,0
PD,M,3,28,197,1
PD,M,3,29,197,5
PD,M,3,30,2,0
PD,M,4,1,56,1
PD,M,4,2,17,0
PD,M,4,4,133,0
PD,M,4,5,134,1
PD,M,4,6,192,1
PD,M,4,7,142,1
PD,M,4,8,49,1
PD,M,4,9,184,1
PD,M,4,10,193,2
PD,M,4,11,273,1
PD,M,4,12,259,2
PD,M,4,13,287,1
PD,M,4,14,355,2
PD,M,4,15,297,2
PD,M,4,16,243,0
PD,M,4,17,382,1
PD,M,4,18,461,5
PD,M,4,19,542,8
PD,M,4,20,635,3
PD,M,4,21,241,2
PD,M,4,22,445,0
PD,M,4,23,330,1
PD,M,4,24,319,5
PD,M,4,25,346,3
PD,M,4,26,344,4
PD,M,4,27,277,4
PD,M,4,28,185,2
PD,M,4,29,169,0
PD,M,4,30,1,0
PD,M,5,1,97,1
PD,M,5,2,13,0
PD,M,5,4,245,1
PD,M,5,5,266,0
PD,M,5,6,356,6
PD,M,5,7,282,2
PD,M,5,8,98,0
PD,M,5,9,316,1
PD,M,5,10,317,3
PD,M,5,11,511,0
PD,M,5,12,397,1
PD,M,5,13,515,5
PD,M,5,14,644,3
PD,M,5,15,498,2
PD,M,5,16,467,2
PD,M,5,17,659,4
PD,M,5,18,851,3
PD,M,5,19,813,7
PD,M,5,20,1097,8
PD,M,5,21,420,1
PD,M,5,22,774,5
PD,M,5,23,521,3
PD,M,5,24,609,2
PD,M,5,25,534,4
PD,M,5,26,647,4
PD,M,5,27,488,0
PD,M,5,28,276,0
PD,M,5,29,356,4
PD,M,5,30,2,0
PD,M,6,1,221,0
PD,M,6,2,43,0
PD,M,6,4,511,2
PD,M,6,5,409,1
PD,M,6,6,565,5
PD,M,6,7,504,2
PD,M,6,8,195,1
PD,M,6,9,597,1
PD,M,6,10,643,1
PD,M,6,11,876,8
PD,M,6,12,793,6
PD,M,6,13,888,3
PD,M,6,14,1122,4
PD,M,6,15,924,5
PD,M,6,16,843,6
PD,M,6,17,1174,3
PD,M,6,18,1410,10
PD,M,6,19,1538,10
PD,M,6,20,1907,7
PD,M,6,21,772,5
PD,M,6,22,1360,8
PD,M,6,23,951,8
PD,M,6,24,1017,4
PD,M,6,25,981,3
PD,M,6,26,1069,5
PD,M,6,27,851,3
PD,M,6,28,593,0
PD,M,6,29,625,1
PD,M,6,30,3,0
PD,M,U,1,382,1
PD,M,U,2,83,1
PD,M,U,4,980,6
PD,M,U,5,881,3
PD,M,U,6,1149,3
PD,M,U,7,1040,9
PD,M,U,8,376,2
PD,M,U,9,1103,2
PD,M,U,10,1225,12
PD,M,U,11,1880,9
PD,M,U,12,1593,6
PD,M,U,13,1862,5
PD,M,U,14,2251,12
PD,M,U,15,1931,10
PD,M,U,16,1589,9
PD,M,U,17,2408,14
PD,M,U,18,2924,13
PD,M,U,19,3188,17
PD,M,U,20,3934,16
PD,M,U,21,1546,6
PD,M,U,22,2737,13
PD,M,U,23,1848,15
PD,M,U,24,1942,12
PD,M,U,25,1907,7
PD,M,U,26,2433,9
PD,M,U,27,1691,8
PD,M,U,28,1161,8
PD,M,U,29,1234,7
PD,M,U,30,14,0
PD,U,1,1,112,0
PD,U,1,2,20,0
PD,U,1,4,306,0
PD,U,1,5,258,0
PD,U,1,6,360,1
PD,U,1,7,311,1
PD,U,1,8,91,0
PD,U,1,9,318,0
PD,U,1,10,366,1
PD,U,1,11,576,3
PD,U,1,12,487,3
PD,U,1,13,530,6
PD,U,1,14,617,3
PD,U,1,15,541,3
PD,U,1,16,509,1
PD,U,1,17,738,2
PD,U,1,18,873,3
PD,U,1,19,959,4
PD,U,1,20,1125,4
PD,U,1,21,443,1
PD,U,1,22,906,4
PD,U,1,23,556,5
PD,U,1,24,565,5
PD,U,1,25,554,5
PD,U,1,26,719,0
PD,U,1,27,475,4
PD,U,1,28,335,2
PD,U,1,29,375,1
PD,U,1,30,2,0
PD,U,2,1,111,0
PD,U,2,2,11,0
PD,U,2,4,315,3
PD,U,2,5,273,2
PD,U,2,6,373,5
PD,U,2,7,333,3
PD,U,2,8,97,0
PD,U,2,9,350,0
PD,U,2,10,382,2
PD,U,2,11,569,0
PD,U,2,12,474,0
PD,U,2,13,536,4
PD,U,2,14,678,1
PD,U,2,15,558,2
PD,U,2,16,498,4
PD,U,2,17,767,3
PD,U,2,18,815,2
PD,U,2,19,1037,7
PD,U,2,20,1218,7
PD,U,2,21,435,1
PD,U,2,22,802,7
PD,U,2,23,540,2
PD,U,2,24,615,6
PD,U,2,25,586,3
PD,U,2,26,749,4
PD,U,2,27,521,3
PD,U,2,28,337,2
PD,U,2,29,389,0
PD,U,2,30,6,0
PD,U,3,1,110,0
PD,U,3,2,26,0
PD,U,3,4,272,1
PD,U,3,5,231,0
PD,U,3,6,293,2
PD,U,3,7,256,1
PD,U,3,8,110,0
PD,U,3,9,343,1
PD,U,3,10,332,2
PD,U,3,11,512,2
PD,U,3,12,387,5
PD,U,3,13,490,1
PD,U,3,14,615,3
PD,U,3,15,525,2
PD,U,3,16,472,2
PD,U,3,17,665,3
PD,U,3,18,790,5
PD,U,3,19,866,2
PD,U,3,20,1003,7
PD,U,3,21,411,0
PD,U,3,22,754,5
PD,U,3,23,526,3
PD,U,3,24,549,3
PD,U,3,25,521,3
PD,U,3,26,653,7
PD,U,3,27,444,6
PD,U,3,28,321,1
PD,U,3,29,314,0
PD,U,4,1,101,1
PD,U,4,2,21,0
PD,U,4,4,296,2
PD,U,4,5,235,0
PD,U,4,6,319,3
PD,U,4,7,275,1
PD,U,4,8,97,2
PD,U,4,9,312,1
PD,U,4,10,329,4
PD,U,4,11,523,1
PD,U,4,12,475,2
PD,U,4,13,511,4
PD,U,4,14,559,4
PD,U,4,15,527,1
PD,U,4,16,448,1
PD,U,4,17,607,4
PD,U,4,18,811,5
PD,U,4,19,839,2
PD,U,4,20,1057,2
PD,U,4,21,410,2
PD,U,4,22,705,3
PD,U,4,23,516,1
PD,U,4,24,551,3
PD,U,4,25,503,1
PD,U,4,26,590,3
PD,U,4,27,485,1
PD,U,4,28,331,1
PD,U,4,29,364,0
PD,U,4,30,3,0
PD,U,5,1,180,1
PD,U,5,2,39,0
PD,U,5,4,441,3
PD,U,5,5,385,0
PD,U,5,6,525,2
PD,U,5,7,521,1
PD,U,5,8,204,0
PD,U,5,9,532,2
PD,U,5,10,576,3
PD,U,5,11,925,4
PD,U,5,12,725,3
PD,U,5,13,865,6
PD,U,5,14,1063,5
PD,U,5,15,881,3
PD,U,5,16,784,4
PD,U,5,17,1133,7
PD,U,5,18,1393,8
PD,U,5,19,1537,6
PD,U,5,20,1881,7
PD,U,5,21,722,1
PD,U,5,22,1246,5
PD,U,5,23,917,5
PD,U,5,24,924,6
PD,U,5,25,897,4
PD,U,5,26,1097,2
PD,U,5,27,807,3
PD,U,5,28,571,0
PD,U,5,29,589,3
PD,U,5,30,9,0
PD,U,6,1,336,2
PD,U,6,2,80,0
PD,U,6,4,828,2
PD,U,6,5,715,4
PD,U,6,6,983,5
PD,U,6,7,946,4
PD,U,6,8,330,0
PD,U,6,9,972,5
PD,U,6,10,1012,5
PD,U,6,11,1651,5
PD,U,6,12,1331,2
PD,U,6,13,1577,7
PD,U,6,14,1918,8
PD,U,6,15,1505,7
PD,U,6,16,1398,3
PD,U,6,17,2022,11
PD,U,6,18,2520,18
PD,U,6,19,2825,13
PD,U,6,20,3275,13
PD,U,6,21,1343,3
PD,U,6,22,2289,8
PD,U,6,23,1559,7
PD,U,6,24,1793,15
PD,U,6,25,1622,3
PD,U,6,26,2001,14
PD,U,6,27,1468,6
PD,U,6,28,998,7
PD,U,6,29,1086,8
PD,U,6,30,6,0
PD,U,U,1,699,5
PD,U,U,2,149,1
PD,U,U,4,1723,14
PD,U,U,5,1427,5
PD,U,U,6,2029,8
PD,U,U,7,1836,10
PD,U,U,8,678,4
PD,U,U,9,2047,9
PD,U,U,10,2156,8
PD,U,U,11,3237,10
PD,U,U,12,2624,10
PD,U,U,13,3141,17
PD,U,U,14,3895,22
PD,U,U,15,3178,22
PD,U,U,16,2851,12
PD,U,U,17,4254,25
PD,U,U,18,4952,22
PD,U,U,19,5531,39
PD,U,U,20,6629,38
PD,U,U,21,2594,4
PD,U,U,22,4660,13
PD,U,U,23,3162,15
PD,U,U,24,3437,15
PD,U,U,25,3335,18
PD,U,U,26,3968,18
PD,U,U,27,2870,18
PD,U,U,28,1963,9
PD,U,U,29,2148,7
PD,U,U,30,13,0
R,F,1,1,4,0
R,F,1,2,1,0
R,F,1,4,6,0
R,F,1,5,8,0
R,F,1,6,9,0
R,F,1,7,6,1
R,F,1,8,6,0
R,F,1,9,3,0
R,F,1,10,13,0
R,F,1,11,14,0
R,F,1,12,7,0
R,F,1,13,11,0
R,F,1,14,7,1
R,F,1,15,14,0
R,F,1,16,10,0
R,F,1,17,17,0
R,F,1,18,27,0
R,F,1,19,17,0
R,F,1,20,27,0
R,F,1,21,9,1
R,F,1,22,18,1
R,F,1,23,14,0
R,F,1,24,18,0
R,F,1,25,16,0
R,F,1,26,23,0
R,F,1,27,11,0
R,F,1,28,5,0
R,F,1,29,8,0
R,F,2,1,3,0
R,F,2,4,6,0
R,F,2,5,4,0
R,F,2,6,6,0
R,F,2,7,5,0
R,F,2,8,1,0
R,F,2,9,7,0
R,F,2,10,10,0
R,F,2,11,19,1
R,F,2,12,10,0
R,F,2,13,18,0
R,F,2,14,13,0
R,F,2,15,12,0
R,F,2,16,12,0
R,F,2,17,8,0
R,F,2,18,24,0
R,F,2,19,28,0
R,F,2,20,31,1
R,F,2,21,7,0
R,F,2,22,13,0
R,F,2,23,11,0
R,F,2,24,16,0
R,F,2,25,14,0
R,F,2,26,19,0
R,F,2,27,12,0
R,F,2,28,7,0
R,F,2,29,7,0
R,F,3,1,2,0
R,F,3,2,1,0
R,F,3,4,3,0
R,F,3,5,2,0
R,F,3,6,7,0
R,F,3,7,8,0
R,F,3,8,1,0
R,F,3,9,10,0
R,F,3,10,11,0
R,F,3,11,17,0
R,F,3,12,8,0
R,F,3,13,11,0
R,F,3,14,10,0
R,F,3,15,12,0
R,F,3,16,7,0
R,F,3,17,12,0
R,F,3,18,22,0
R,F,3,19,22,0
R,F,3,20,26,0
R,F,3,21,11,0
R,F,3,22,17,0
R,F,3,23,12,0
R,F,3,24,13,0
R,F,3,25,18,0
R,F,3,26,22,0
R,F,3,27,11,0
R,F,3,28,3,0
R,F,3,29,9,0
R,F,4,1,5,0
R,F,4,2,1,0
R,F,4,4,10,1
R,F,4,5,7,0
R,F,4,6,9,0
R,F,4,7,5,0
R,F,4,8,2,0
R,F,4,9,1,0
R,F,4,10,6,0
R,F,4,11,10,0
R,F,4,12,7,0
R,F,4,13,3,0
R,F,4,14,19,0
R,F,4,15,14,0
R,F,4,16,14,0
R,F,4,17,18,0
R,F,4,18,14,0
R,F,4,19,21,0
R,F,4,20,25,1
R,F,4,21,12,0
R,F,4,22,16,0
R,F,4,23,15,0
R,F,4,24,14,0
R,F,4,25,10,0
R,F,4,26,14,0
R,F,4,27,19,0
R,F,4,28,6,0
R,F,4,29,8,0
R,F,5,1,3,0
R,F,5,4,7,0
R,F,5,5,6,0
R,F,5,6,8,0
R,F,5,7,10,0
R,F,5,8,5,0
R,F,5,9,10,0
R,F,5,10,14,0
R,F,5,11,23,0
R,F,5,12,18,0
R,F,5,13,20,0
R,F,5,14,19,0
R,F,5,15,15,0
R,F,5,16,20,0
R,F,5,17,22,0
R,F,5,18,26,1
R,F,5,19,38,0
R,F,5,20,39,0
R,F,5,21,18,0
R,F,5,22,32,0
R,F,5,23,23,0
R,F,5,24,26,0
R,F,5,25,28,0
R,F,5,26,28,0
R,F,5,27,15,0
R,F,5,28,12,0
R,F,5,29,14,0
R,F,6,1,5,0
R,F,6,2,1,0
R,F,6,4,19,0
R,F,6,5,13,0
R,F,6,6,19,1
R,F,6,7,20,1
R,F,6,8,8,0
R,F,6,9,24,0
R,F,6,10,25,0
R,F,6,11,36,0
R,F,6,12,27,0
R,F,6,13,38,0
R,F,6,14,37,1
R,F,6,15,34,1
R,F,6,16,32,0
R,F,6,17,52,2
R,F,6,18,45,1
R,F,6,19,54,2
R,F,6,20,70,0
R,F,6,21,37,0
R,F,6,22,48,1
R,F,6,23,26,0
R,F,6,24,23,0
R,F,6,25,39,0
R,F,6,26,35,1
R,F,6,27,30,0
R,F,6,28,22,0
R,F,6,29,26,0
R,F,U,1,16,0
R,F,U,2,5,0
R,F,U,4,46,1
R,F,U,5,25,0
R,F,U,6,37,0
R,F,U,7,32,0
R,F,U,8,17,1
R,F,U,9,50,0
R,F,U,10,35,2
R,F,U,11,77,0
R,F,U,12,61,0
R,F,U,13,63,0
R,F,U,14,69,0
R,F,U,15,81,0
R,F,U,16,60,1
R,F,U,17,92,1
R,F,U,18,97,1
R,F,U,19,121,2
R,F,U,20,145,0
R,F,U,21,55,0
R,F,U,22,107,1
R,F,U,23,72,3
R,F,U,24,73,2
R,F,U,25,84,1
R,F,U,26,98,0
R,F,U,27,59,0
R,F,U,28,46,1
R,F,U,29,49,2
R,M,1,4,3,0
R,M,1,5,2,0
R,M,1,6,3,0
R,M,1,7,3,0
R,M,1,8,2,0
R,M,1,9,8,0
R,M,1,10,2,0
R,M,1,11,12,0
R,M,1,12,6,0
R,M,1,13,8,0
R,M,1,14,11,1
R,M,1,15,5,0
R,M,1,16,5,0
R,M,1,17,11,0
R,M,1,18,11,0
R,M,1,19,13,0
R,M,1,20,8,0
R,M,1,21,5,0
R,M,1,22,11,0
R,M,1,23,9,0
R,M,1,24,9,1
R,M,1,25,5,0
R,M,1,26,9,0
R,M,1,27,10,0
R,M,1,28,6,0
R,M,1,29,5,0
R,M,2,4,4,1
R,M,2,5,4,0
R,M,2,6,2,0
R,M,2,7,5,0
R,M,2,8,2,0
R,M,2,9,7,1
R,M,2,10,2,0
R,M,2,11,10,0
R,M,2,12,6,0
R,M,2,13,10,0
R,M,2,14,5,0
R,M,2,15,7,0
R,M,2,16,7,0
R,M,2,17,7,0
R,M,2,18,10,0
R,M,2,19,13,0
R,M,2,20,21,0
R,M,2,21,7,0
R,M,2,22,12,0
R,M,2,23,8,0
R,M,2,24,4,0
R,M,2,25,8,0
R,M,2,26,9,0
R,M,2,27,7,0
R,M,2,28,5,0
R,M,2,29,7,0
R,M,3,2,1,0
R,M,3,4,3,0
R,M,3,5,4,0
R,M,3,6,5,0
R,M,3,7,5,0
R,M,3,8,4,0
R,M,3,9,4,0
R,M,3,10,6,0
R,M,3,11,5,0
R,M,3,12,3,0
R,M,3,13,9,0
R,M,3,14,6,0
R,M,3,15,6,0
R,M,3,16,3,0
R,M,3,17,11,0
R,M,3,18,12,0
R,M,3,19,6,0
R,M,3,20,11,0
R,M,3,21,5,0
R,M,3,22,10,0
R,M,3,23,9,0
R,M,3,24,10,0
R,M,3,25,2,0
R,M,3,26,6,0
R,M,3,27,9,0
R,M,3,28,2,0
R,M,3,29,2,0
R,M,4,2,1,0
R,M,4,4,2,0
R,M,4,5,1,0
R,M,4,6,6,0
R,M,4,7,6,0
R,M,4,8,3,0
R,M,4,9,3,0
R,M,4,10,5,0
R,M,4,11,5,0
R,M,4,12,3,0
R,M,4,13,9,0
R,M,4,14,11,0
R,M,4,15,4,0
R,M,4,16,4,1
R,M,4,17,5,0
R,M,4,18,10,0
R,M,4,19,6,0
R,M,4,20,6,0
R,M,4,21,5,0
R,M,4,22,8,0
R,M,4,23,4,0
R,M,4,24,11,0
R,M,4,25,8,0
R,M,4,26,9,0
R,M,4,27,4,0
R,M,4,28,4,0
R,M,4,29,3,0
R,M,5,1,3,0
R,M,5,4,7,0
R,M,5,5,1,0
R,M,5,6,10,0
R,M,5,7,6,0
R,M,5,8,4,0
R,M,5,9,9,0
R,M,5,10,6,0
R,M,5,11,7,0
R,M,5,12,10,0
R,M,5,13,12,0
R,M,5,14,9,0
R,M,5,15,16,0
R,M,5,16,7,1
R,M,5,17,14,0
R,M,5,18,12,0
R,M,5,19,15,2
R,M,5,20,21,0
R,M,5,21,7,0
R,M,5,22,13,0
R,M,5,23,8,0
R,M,5,24,10,0
R,M,5,25,9,0
R,M,5,26,15,2
R,M,5,27,5,0
R,M,5,28,9,0
R,M,5,29,8,0
R,M,6,1,4,0
R,M,6,2,1,0
R,M,6,4,10,0
R,M,6,5,3,0
R,M,6,6,10,0
R,M,6,7,10,0
R,M,6,8,3,0
R,M,6,9,11,0
R,M,6,10,21,0
R,M,6,11,19,0
R,M,6,12,24,0
R,M,6,13,16,0
R,M,6,14,25,0
R,M,6,15,21,0
R,M,6,16,16,0
R,M,6,17,24,0
R,M,6,18,38,0
R,M,6,19,37,0
R,M,6,20,51,0
R,M,6,21,15,0
R,M,6,22,25,0
R,M,6,23,13,0
R,M,6,24,15,0
R,M,6,25,14,0
R,M,6,26,29,0
R,M,6,27,16,0
R,M,6,28,10,0
R,M,6,29,11,1
R,M,6,30,2,0
R,M,U,1,9,0
R,M,U,2,1,0
R,M,U,4,21,0
R,M,U,5,17,0
R,M,U,6,17,0
R,M,U,7,24,1
R,M,U,8,6,0
R,M,U,9,27,0
R,M,U,10,32,0
R,M,U,11,34,1
R,M,U,12,30,0
R,M,U,13,37,0
R,M,U,14,40,0
R,M,U,15,42,0
R,M,U,16,35,0
R,M,U,17,39,0
R,M,U,18,62,0
R,M,U,19,52,1
R,M,U,20,83,0
R,M,U,21,40,0
R,M,U,22,61,0
R,M,U,23,39,0
R,M,U,24,47,2
R,M,U,25,32,0
R,M,U,26,54,0
R,M,U,27,38,0
R,M,U,28,27,1
R,M,U,29,34,0
R,U,1,1,4,0
R,U,1,4,10,0
R,U,1,5,5,1
R,U,1,6,8,0
R,U,1,7,6,0
R,U,1,9,8,0
R,U,1,10,4,0
R,U,1,11,11,0
R,U,1,12,9,0
R,U,1,13,16,0
R,U,1,14,20,0
R,U,1,15,11,0
R,U,1,16,14,0
R,U,1,17,20,0
R,U,1,18,19,0
R,U,1,19,25,0
R,U,1,20,36,1
R,U,1,21,2,0
R,U,1,22,18,0
R,U,1,23,9,0
R,U,1,24,12,0
R,U,1,25,13,0
R,U,1,26,16,0
R,U,1,27,10,0
R,U,1,28,9,0
R,U,1,29,7,0
R,U,2,1,3,0
R,U,2,4,3,0
R,U,2,5,10,0
R,U,2,6,7,0
R,U,2,7,4,0
R,U,2,8,4,0
R,U,2,9,7,0
R,U,2,10,3,0
R,U,2,11,9,0
R,U,2,12,10,0
R,U,2,13,6,0
R,U,2,14,15,0
R,U,2,15,9,0
R,U,2,16,19,0
R,U,2,17,12,0
R,U,2,18,15,0
R,U,2,19,21,0
R,U,2,20,25,0
R,U,2,21,9,0
R,U,2,22,17,0
R,U,2,23,16,0
R,U,2,24,12,0
R,U,2,25,18,0
R,U,2,26,14,0
R,U,2,27,9,0
R,U,2,28,7,0
R,U,2,29,2,0
R,U,3,1,6,0
R,U,3,2,1,0
R,U,3,4,5,0
R,U,3,5,6,0
R,U,3,6,9,0
R,U,3,7,2,0
R,U,3,8,1,0
R,U,3,9,9,0
R,U,3,10,5,0
R,U,3,11,11,0
R,U,3,12,10,0
R,U,3,13,8,0
R,U,3,14,11,0
R,U,3,15,14,0
R,U,3,16,6,0
R,U,3,17,16,1
R,U,3,18,16,0
R,U,3,19,18,0
R,U,3,20,8,0
R,U,3,21,7,0
R,U,3,22,16,0
R,U,3,23,15,2
R,U,3,24,12,0
R,U,3,25,10,0
R,U,3,26,13,0
R,U,3,27,13,0
R,U,3,28,9,0
R,U,3,29,5,0
R,U,4,1,1,0
R,U,4,4,9,0
R,U,4,5,4,0
R,U,4,6,9,0
R,U,4,7,8,0
R,U,4,8,3,0
R,U,4,9,7,0
R,U,4,10,7,0
R,U,4,11,14,0
R,U,4,12,6,0
R,U,4,13,12,0
R,U,4,14,12,0
R,U,4,15,15,0
R,U,4,16,9,0
R,U,4,17,16,0
R,U,4,18,26,0
R,U,4,19,27,0
R,U,4,20,25,1
R,U,4,21,15,0
R,U,4,22,14,0
R,U,4,23,9,0
R,U,4,24,8,0
R,U,4,25,18,0
R,U,4,26,14,0
R,U,4,27,14,1
R,U,4,28,8,0
R,U,4,29,5,0
R,U,5,1,4,0
R,U,5,4,9,1
R,U,5,5,11,0
R,U,5,6,10,0
R,U,5,7,12,0
R,U,5,8,7,0
R,U,5,9,13,0
R,U,5,10,7,0
R,U,5,11,19,0
R,U,5,12,10,0
R,U,5,13,17,0
R,U,5,14,18,0
R,U,5,15,22,0
R,U,5,16,9,0
R,U,5,17,22,0
R,U,5,18,25,1
R,U,5,19,39,1
R,U,5,20,29,0
R,U,5,21,12,0
R,U,5,22,31,1
R,U,5,23,28,0
R,U,5,24,25,0
R,U,5,25,15,1
R,U,5,26,23,0
R,U,5,27,15,0
R,U,5,28,8,0
R,U,5,29,15,0
R,U,5,30,1,0
R,U,6,1,12,0
R,U,6,2,1,0
R,U,6,4,15,0
R,U,6,5,9,0
R,U,6,6,34,0
R,U,6,7,18,1
R,U,6,8,8,0
R,U,6,9,22,0
R,U,6,10,16,1
R,U,6,11,27,0
R,U,6,12,24,1
R,U,6,13,25,0
R,U,6,14,40,0
R,U,6,15,32,0
R,U,6,16,27,0
R,U,6,17,37,2
R,U,6,18,50,0
R,U,6,19,50,0
R,U,6,20,85,1
R,U,6,21,26,0
R,U,6,22,55,1
R,U,6,23,28,0
R,U,6,24,37,0
R,U,6,25,32,0
R,U,6,26,33,1
R,U,6,27,27,0
R,U,6,28,25,0
R,U,6,29,19,0
R,U,U,1,22,0
R,U,U,2,1,0
R,U,U,4,24,0
R,U,U,5,21,0
R,U,U,6,58,0
R,U,U,7,44,0
R,U,U,8,16,1
R,U,U,9,40,1
R,U,U,10,47,1
R,U,U,11,75,0
R,U,U,12,66,0
R,U,U,13,72,1
R,U,U,14,89,2
R,U,U,15,45,2
R,U,U,16,49,0
R,U,U,17,95,2
R,U,U,18,120,1
R,U,U,19,116,1
R,U,U,20,147,5
R,U,U,21,51,0
R,U,U,22,96,0
R,U,U,23,60,0
R,U,U,24,89,2
R,U,U,25,64,0
R,U,U,26,95,1
R,U,U,27,49,1
R,U,U,28,43,0
R,U,U,29,48,1
